geo_code,geo_label,geo_labelw,label,name,x,y
E05006905,Cannock South,,E92000001E05006905,Cannock South,397896.46843142,309190.093296641
W05000624,Pen-y-fai,Pen-y-fai,W92000004W05000624,Pen-y-fai,288907.855188047,182066.689269297
E05000626,Tooting,,E92000001E05000626,Tooting,527152.427745903,171718.38943849
E05008136,Abbey,,E92000001E05008136,Abbey,351027.998472202,312214.507150231
W05000708,Cyfarthfa,Cyfarthfa,W92000004W05000708,Cyfarthfa,302596.955977305,206460.979150675
E05005896,Forncett,,E92000001E05005896,Forncett,615143.548093672,295254.844678104
W05000773,Cwmyniscoy,Cwmynysgoi,W92000004W05000773,Cwmyniscoy,327038.565520364,199192.264757731
E05004966,Coldharbour,,E92000001E05004966,Coldharbour,563801.353478897,172633.506551043
E05006309,Pickering West,,E92000001E05006309,Pickering West,479823.015941056,485531.550919863
W05000652,Stanwell,Stanwell,W92000004W05000652,Stanwell,317477.560893894,171125.396215178
E05008850,Spring Park,,E92000001E05008850,Spring Park,474497.839441954,264432.457811263
E05007526,Quinton,,E92000001E05007526,Quinton,418688.003573274,247717.600143362
E05004390,Hardwicke,,E92000001E05004390,Hardwicke,378761.730051125,212744.366919476
E05003989,Cross in Hand/Five Ashes,,E92000001E05003989,Cross in Hand/Five Ashes,556255.913602686,122792.487440656
W05000502,Penygroes,Pen-y-groes,W92000004W05000502,Penygroes,258901.952944119,213318.844161685
W05000131,Llandrillo yn Rhos,Llandrillo yn Rhos,W92000004W05000131,Llandrillo yn Rhos,283451.023672511,380387.413150531
E05007586,Felpham West,,E92000001E05007586,Felpham West,495136.140004962,100255.806671693
E05000685,Tottington,,E92000001E05000685,Tottington,377243.408058758,412753.801004741
E05007380,Heatherside,,E92000001E05007380,Heatherside,490358.405781415,159603.070721701
E05004974,Pelham,,E92000001E05004974,Pelham,564293.296743848,174043.459516074
E05006483,Southwell East,,E92000001E05006483,Southwell East,471946.270393006,354359.326143145
E05003274,Ulverston West,,E92000001E05003274,Ulverston West,327890.563197884,477200.217790083
E05007452,Mount Hermon West,,E92000001E05007452,Mount Hermon West,500233.743040116,157878.358181268
E05007594,Pagham and Rose Green,,E92000001E05007594,Pagham and Rose Green,489232.730544246,99093.7282859019
W05000778,Llanyrafon South,Llanyrafon - De,W92000004W05000778,Llanyrafon South,331888.291956319,193713.546385409
E05008281,St Austell Bay,,E92000001E05008281,St Austell Bay,204283.704896309,52776.6196703301
E05005683,Morkery,,E92000001E05005683,Morkery,495473.967818006,319611.951673254
W05000903,Brymbo,Brymbo,W92000004W05000903,Brymbo,328871.585305234,353531.860172806
E05005839,West Winch,,E92000001E05005839,West Winch,564842.966555079,315828.50688869
E05004129,Harbour,,E92000001E05004129,Harbour,601684.406651355,222946.189580561
E05001355,Keighley Central,,E92000001E05001355,Keighley Central,405534.045505795,441972.893200637
W05000352,Welshpool Gungrog,Y Trallwng Gungrog,W92000004W05000352,Welshpool Gungrog,323955.733703297,310144.378918689
95WW22,Mossley,,N9200000295WW22   ,Mossley,145076.273984095,540361.437327035
E05002743,Kingsmoor,,E92000001E05002743,Kingsmoor,528213.579124104,297511.666360079
E05006821,Bruton,,E92000001E05006821,Bruton,368594.05702519,134597.646497034
E05005150,Bank Hall,,E92000001E05005150,Bank Hall,384813.055851101,433077.446851852
E05005879,Crome,,E92000001E05005879,Crome,625208.162876911,309908.844972137
S13002717,Coatbridge North and Glenboig,,S92000003S13002717,Coatbridge North and Glenboig,273284.479603814,669437.86441938
E05008580,St Ives South,,E92000001E05008580,St Ives South,531627.76639649,271333.46726457
E05004878,Highfield,,E92000001E05004878,Highfield,603081.234731223,141027.332316533
E05004184,Mark Hall,,E92000001E05004184,Mark Hall,546384.016245321,211199.462751429
S13002737,North Isles,,S92000003S13002737,North Isles,355042.180639061,1035571.7519764
E05002196,Challney,,E92000001E05002196,Challney,505637.362183945,222858.566411089
E05005620,"Billinghay, Martin and North Kyme",,E92000001E05005620,"Billinghay, Martin and North Kyme",515479.584656228,356954.823496315
E05002300,Falkland,,E92000001E05002300,Falkland,445854.684015477,164731.907524748
E05001415,Beeston and Holbeck,,E92000001E05001415,Beeston and Holbeck,428702.019948996,430910.617970975
E05005506,Melton Warwick,,E92000001E05005506,Melton Warwick,475513.681711671,317363.454187525
95GG14,Cavehill,,N9200000295GG14   ,Cavehill,145075.288972617,534367.446516595
E05004629,Alamein,,E92000001E05004629,Alamein,437529.111874229,148757.313706826
E05003766,Sherborne East,,E92000001E05003766,Sherborne East,364112.787588196,117446.837145735
E05000081,St Mary's,,E92000001E05000081,St Mary's,549278.363671412,173363.13891588
E05000218,Eltham North,,E92000001E05000218,Eltham North,543291.892935814,175323.678254139
E05005288,Sharoe Green,,E92000001E05005288,Sharoe Green,354115.621338347,433252.329062034
E05000867,Halewood South,,E92000001E05000867,Halewood South,345559.548561401,384938.210918605
E05000339,Townfield,,E92000001E05000339,Townfield,510451.963441369,180377.05022848
E05006556,Jericho and Osney,,E92000001E05006556,Jericho and Osney,449555.262744394,207191.210887552
E05001614,Poulton North,,E92000001E05001614,Poulton North,363214.358442917,390967.38707703
E05007970,Chilton,,E92000001E05007970,Chilton,428572.000760181,530784.368341798
W05000906,Coedpoeth,Coedpoeth,W92000004W05000906,Coedpoeth,329559.429280509,350723.53689062
E05000567,Sutton West,,E92000001E05000567,Sutton West,525043.423547259,164116.914999194
95OO11,Coalisland South,,N9200000295OO11   ,Coalisland South,95976.2907913101,524875.215129564
E05007705,Selden,,E92000001E05007705,Selden,516417.283689315,103223.010281901
E05001182,Bordesley Green,,E92000001E05001182,Bordesley Green,411166.220682703,286403.25049913
W05000940,Cwm,Cwm,W92000004W05000940,Cwm,318632.321625761,204946.390905468
E05005426,Anstey,,E92000001E05005426,Anstey,454716.762083901,308743.361752481
E05007472,Polesworth West,,E92000001E05007472,Polesworth West,425363.565275358,302273.438234081
E05003536,Braunton East,,E92000001E05003536,Braunton East,250908.681255556,138402.900086529
E05000217,Coldharbour and New Eltham,,E92000001E05000217,Coldharbour and New Eltham,543267.626848075,172522.263446627
W05000220,Mold South,Yr Wyddgrug - De,W92000004W05000220,Mold South,322919.876659521,363347.361760274
E05007667,Trafalgar,,E92000001E05007667,Trafalgar,516529.070870642,131502.132428961
W05000494,Llangyndeyrn,Llangyndeyrn,W92000004W05000494,Llangyndeyrn,246313.971624574,212138.853144292
E05007636,Ifield,,E92000001E05007636,Ifield,524925.810015641,137142.407173442
E05003430,Holmewood and Heath,,E92000001E05003430,Holmewood and Heath,444131.521231633,366792.000021235
E05000015,"Bassishaw,Coleman Street,Cripplegate",,E92000001E05000015,"Bassishaw,Coleman Street,Cripplegate",532394.51421984,181722.98786217
E05002698,Totteridge,,E92000001E05002698,Totteridge,488333.284757175,193288.635697481
E05005958,Spratton,,E92000001E05005958,Spratton,471576.536962391,272298.530286977
E05001390,Batley East,,E92000001E05001390,Batley East,425380.687865829,424144.390116528
E05006348,Fairburn with Brotherton,,E92000001E05006348,Fairburn with Brotherton,449968.64762942,426952.843072196
E05004105,"Little Baddow, Danbury and Sandon",,E92000001E05004105,"Little Baddow, Danbury and Sandon",576883.808025929,205430.28284369
E05005070,Queenborough and Halfway,,E92000001E05005070,Queenborough and Halfway,590727.922892095,171952.57327008
E05005891,Brooke,,E92000001E05005891,Brooke,630411.446546814,298446.092107453
E05002139,Hamworthy East,,E92000001E05002139,Hamworthy East,400081.164495687,90328.6961156702
E05004876,Godinton,,E92000001E05004876,Godinton,599493.499299896,143461.776037393
E05001990,Henleaze,,E92000001E05001990,Henleaze,357953.457395358,176459.425172156
W05000307,Llanafanfawr,Llanafan Fawr,W92000004W05000307,Llanafanfawr,295370.479898533,256376.673360824
E05003674,Colehill West,,E92000001E05003674,Colehill West,401595.913496027,101191.888248372
95PP23,Tempo,,N9200000295PP23   ,Tempo,45861.7379620386,513253.201922142
E05002412,Olney,,E92000001E05002412,Olney,488972.343009437,252231.013745972
E05005774,Plumstead,,E92000001E05005774,Plumstead,629803.37356196,311077.358179826
E05008927,Porlock and District,,E92000001E05008927,Porlock and District,287721.779945471,145496.174599524
E05000508,Mayfield,,E92000001E05000508,Mayfield,545485.695630521,186007.566789987
E05001144,Hebburn South,,E92000001E05001144,Hebburn South,431021.999226523,563412.552067377
E05005866,Sheringham North,,E92000001E05005866,Sheringham North,615675.116323106,343205.818149566
E05000565,Sutton North,,E92000001E05000565,Sutton North,525846.000050945,165542.466473017
E05000424,Knight's Hill,,E92000001E05000424,Knight's Hill,531634.26765084,171729.075790309
95PP11,Erne,,N9200000295PP11   ,Erne,34441.571567002,511402.207302783
E05001011,Rossington,,E92000001E05001011,Rossington,462210.459766118,397686.497777195
E05004917,Reculver,,E92000001E05004917,Reculver,621724.233817569,168358.958035907
E05001816,Oakham North West,,E92000001E05001816,Oakham North West,484124.920786053,309068.550934863
E05004260,Walton,,E92000001E05004260,Walton,625468.430921595,223550.877024992
E05002153,Freshbrook and Grange Park,,E92000001E05002153,Freshbrook and Grange Park,410913.1215545,183897.622920869
W05000544,Pontardulais,Pontarddulais,W92000004W05000544,Pontardulais,260541.590740651,204966.052151897
E05005015,Eynsford,,E92000001E05005015,Eynsford,553407.121243009,164820.593848263
W05000504,Pontyberem,Pontyberem,W92000004W05000504,Pontyberem,250647.852843611,211058.275662057
E05007101,Sudbury South,,E92000001E05007101,Sudbury South,586505.039127464,241252.242188077
E05001572,Northgate,,E92000001E05001572,Northgate,428645.104938653,515171.91216591
